OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
150938,K-COLGAT,COLGATE PALMOLIVE PARK,1 FADDEN CLOSE,ARUNDEL,37191,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a445dd39-d001-4dd9-bd6a-7ef85534185c
150939,K-COLL02,COLLINGWOOD PARK,6A COLLINGWOOD AVENUE,ROBINA,2279,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,247ee944-441a-4beb-898d-ebbcecfd03a1
150940,K-MERM01,MERMAID ESPLANADE,PEERLESS AVENUE,MERMAID BEACH,25621,OPEN SPACE PARKS,AMENITY SPACE,GCCC,dcd484e6-7a01-41f9-9259-b9be984f52e1
150941,K-MERR01,MERRILAINE CRESCENT LINK PARK,41A MERRILAINE CRESCENT,MERRIMAC,172,UTILITY RESERVE,ACCESS LINKAGE,GCCC,e4c04c29-efe8-4c6d-afe5-4415ffed8854
150942,K-BROUGH,BROUGHAM PARADE PARK,2 BROUGHAM PARADE,PIMPAMA,2176,OPEN SPACE PARKS,AMENITY SPACE,GCCC,fd118e22-8a4f-45b4-a18a-c79d1329d6b5
150943,K-BROADV,BROADVIEW PARK,CONSTANCE ESPLANADE,RUNAWAY BAY,1381,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,c6d3ae96-10b8-4b39-b08c-b606440816e1
150944,K-MUDG02,MUDGEERABA SHOWGROUNDS,115 MUDGEERABA ROAD,WORONGARY,52267,OPEN SPACE PARKS,DISTRICT RECREATION PARK,GCCC,02ef52ef-f17a-4f35-8fab-6d42ac988535
150945,K-AZZURR,AZZURRA DRIVE PARK,AZZURRA DRIVE,VARSITY LAKES,9527,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,d08cb193-6512-433c-8277-b1f794b6f38d
150946,K-BADENP,BADEN POWELL PARK,13 SMITH STREET,SOUTHPORT,2890,OPEN SPACE PARKS,AMENITY SPACE,GCCC,f98744a0-5a5c-420e-9513-518d628150ce
150947,K-BAGANC,BAGAN COURT RESERVE,2 BAGAN COURT,MUDGEERABA,4335,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,5b3fca2f-b695-4431-8862-8814ba7a1c60
150948,K-EASTPA,EASTPARK DRIVE RESERVE,12A EASTPARK WATERS,HELENSVALE,472,UTILITY RESERVE,ACCESS LINKAGE,GCCC,9b2420c3-78b4-4f65-8cea-48d5e9d90fab
150949,K-HEMING,HEMINGWAY HEIGHTS PARK,4 HELLMAN STREET,MOLENDINAR,1422,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,7d9e9e8a-d40d-4b1c-b89c-f54a069cc541
150950,K-TOMROS,TOM ROSE PARK,69 WANDIN STREET,NERANG,15275,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,7128a7e5-570f-4566-8515-3ce820b23445
150951,,SPRINGBROOK NATIONAL PARK,946 AUSTINVILLE ROAD,AUSTINVILLE,1972755,QUEENSLAND CONSERVATION ESTATE,NATIONAL PARK,EXTERNAL,c42a958f-9d91-4046-b7a2-d639637921e7
150952,K-AVICED,AVICEDA RESERVE,PIMPAMA JACOBS WELL ROAD,PIMPAMA,195991,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,9ac83eca-975c-43f0-9f6f-3afc4fae6ae5
150953,K-AVOCAD,AVOCADO PARK,AVOCADO STREET,ELANORA,152,UTILITY RESERVE,ACCESS LINKAGE,GCCC,2b54e922-7c1f-4659-8114-8c92db8052c1
150954,K-SANTAB,SANTABELLE PARK,15 SANTABELLE CRESCENT,CLEAR ISLAND WATERS,1974,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,8d65156a-3d49-412e-b38e-73cb0f4b1317
150955,K-SANTOF,SANTO FAMILY PARK,81 BRISBANE ROAD,BIGGERA WATERS,4970,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,bd6f4f6e-7e01-4dc8-b1a9-ca5fa50a14da
150956,F-CFTALL,TALLEBUDGERA PONY FACILITY,ANDREWS ROAD,TALLEBUDGERA,90500,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,e60356ff-113e-419a-a206-61e6d4a01e23
150957,K-DELLAW,DELLAWAY FAMILY PARK,30 BENOWA ROAD,SOUTHPORT,18943,OPEN SPACE PARKS,AMENITY SPACE,GCCC,4f3852bd-b409-40cd-aa2d-5e67893e46fc
150958,K-DELTAR,DELTA RESERVE,4 CHALLENGER STREET,WORONGARY,21383,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,fcb4bca6-151c-4a00-835b-0caf8f6df2ff
150959,K-DENNIN,DENNING ROAD RESERVE,DENNING ROAD,CURRUMBIN VALLEY,57419,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,922ddb1b-695c-40ab-9209-e2f20dba2ae7
150960,K-DEODAR,DEODAR PARK,2 OMAO AVENUE,BURLEIGH WATERS,22791,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2bac2a64-f3a8-4cdb-b68b-600c68bbcddd
150961,K-DERBYP,DERBY PARK,17A BEDFORD CRESCENT,MUDGEERABA,7495,UTILITY RESERVE,UTILITY RESERVE,GCCC,f015b691-ca61-45bd-842d-bed6d0ef4698
150962,K-LENAND,LEN AND MURIEL GODLONTON RESERVE,BROADWATER STREET,RUNAWAY BAY,29130,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,feeaf87c-3316-4dd3-9e2d-7c49c652b902
150963,K-MURRAY,MURRAYFIELD PLACE RESERVE,15A MURRAYFIELD PLACE,MERRIMAC,3279,OPEN SPACE PARKS,AMENITY SPACE,GCCC,8d6c1a6c-77af-419f-9d85-e9e2d20915bf
150964,K-MURTHA,MURTHA DRIVE PARK,29 MURTHA DRIVE,ELANORA,1441,OPEN SPACE PARKS,AMENITY SPACE,GCCC,0de1ece7-9654-4247-b922-a9b32ec0ef0b
150965,K-MYLORP,MYLOR PARK,2 YARRAYNE ROAD,NERANG,1778,OPEN SPACE PARKS,AMENITY SPACE,GCCC,ec19fe59-989f-434c-a75d-4fa50adf9c20
150966,K-MYOLAC,MYOLA COURT RESERVE,MYOLA COURT,COOMBABAH,4284,OPEN SPACE PARKS,WATER BODY,GCCC,43c1d865-ad80-4038-892d-4fcfa2e3a5b9
150967,K-WILL02,WILLIAM DUCKETT WHITE PARK,6 CONNEMARA ROAD,PACIFIC PINES,28810,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,37e5feae-8c0f-4749-99c4-9abba01ae92f
150968,K-WILL03,WILLIAM GUISE FOXWELL PARK,2 SHIPPER DRIVE,COOMERA,40308,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,27e05862-cf0b-4adf-81a4-a1aaf7198e62
150969,K-WILL04,WILLIAM PARK,16 DEBORAH AVENUE,BENOWA,1986,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,e8a1e64b-9371-4556-9d1f-8cccd40168ca
150970,K-WILL05,WILLIAMSON PARK,WILLIAMSON ROAD,UPPER COOMERA,6228,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,c82347fe-472e-4f16-8ab7-43cbf24c6d22
150971,K-SOUT03,SOUTHAVEN DRIVE PARK,SOUTHAVEN DRIVE,HELENSVALE,911,OPEN SPACE PARKS,AMENITY SPACE,GCCC,c02d1a16-0122-4887-8a38-04aafba51a09
150972,K-WILTSH,WILTSHIRE PARK,34A WILTSHIRE DRIVE,MUDGEERABA,6787,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,43d25125-06fc-47b4-93e2-940d1e8509ee
150973,K-WIMBAC,WIMBA CT DRAINAGE RESERVE,WIMBA COURT,ASHMORE,2403,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,f31d34a8-2ccc-4af5-b7c2-0775f6b6fb7e
150974,K-GAWAIN,GAWAIN DRIVE RESERVE,GAWAIN DRIVE,ORMEAU,8578,UTILITY RESERVE,UTILITY RESERVE,GCCC,c9a41513-e904-4cc0-a6a0-b3dddaabc195
150975,,SOUTH STRADBROKE ISLAND MORETON BAY BOAT CLUB,SOUTH STRADBROKE ISLAND,SOUTH STRADBROKE,858,COMMUNITY FACILITIES,INDOOR SPORTS AND RECREATION,EXTERNAL,aecdab84-5476-4376-9371-da0da7639f4f
150976,,SOUTH STRADBROKE ISLAND THE SOUTHPORT SCHOOL,SOUTH STRADBROKE ISLAND,SOUTH STRADBROKE,7717,COMMUNITY FACILITIES,INDOOR SPORTS AND RECREATION,EXTERNAL,583395f2-2c08-4ba8-b647-4d9fdf979e35
150977,,SOUTH STRADBROKE ISLAND VOLUNTEER MARINE RESCUE,SOUTH STRADBROKE ISLAND,SOUTH STRADBROKE,902,COMMUNITY FACILITIES,CULTURAL FACILITIES,EXTERNAL,87f4596c-ec55-4bf9-a319-93d094a11ed8
150978,K-SOUT02,SOUTHAVEN CANAL ACCESS PARK,PACIFIC HIGHWAY,HELENSVALE,3196,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,51f2c780-7a4d-4fcc-9a5c-167bd1884b7b
150979,K-SOUT04,SOUTHERN CROSS RESERVES,SOUTHERN CROSS DRIVE,SURFERS PARADISE,3923,OPEN SPACE PARKS,AMENITY SPACE,GCCC,e40f947e-e1bc-4263-9c55-044b616b2e51
150980,K-BRONHI,BRONHILL RESERVE,BRONHILL STREET,CURRUMBIN WATERS,14952,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,1ae4dd85-2490-411f-bb50-165272775591
150981,K-BRONTE,BRONTE COURT RESERVE,80A NEWPORT DRIVE,ROBINA,1196,OPEN SPACE PARKS,AMENITY SPACE,GCCC,89b58c3a-bcf5-40a6-b123-2b7f7ee7f2ae
150982,K-UPPE01,UPPER ORMEAU PARK,2A BARRENJOEY DRIVE,ORMEAU HILLS,14189,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f6ed08de-04ee-40b9-9f58-a182d2ce712a
150983,K-CIRRUS,CIRRUS PARK,40 CIRRUS WAY,COOMERA,681,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,0dfeedc8-7685-4f7e-83ed-9e4392ea888f
150984,K-FARRER,FARRER COURT RESERVE,2A FARRER COURT,UPPER COOMERA,1156,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,d360bf12-0d41-4235-8ab6-babca21119e8
150985,K-STARFI,STARFISH COURT PARKLANDS,LYNX LANE,TUGUN,2699,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,66305753-566a-475a-8559-6386d053ca97
150986,K-STARUS,STARUSH PARK,COOMERA SPRING BOULEVARDE,UPPER COOMERA,4751,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f881cb2e-ac25-4877-b0a6-1028826cc620
150987,K-USHE03,USHER AV RESERVE,222A CENTRAL STREET,LABRADOR,6904,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,c711f3ca-2318-4f43-af88-6110b4d72ed8
150988,K-VALL02,VALLEY VIEW VISTA PARK,VALLEY VIEW VISTA,WONGAWALLAN,3956,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,67a2fc94-e958-4f5f-b444-c5c23fb9c4b3
150989,K-VANDER,VANDERBILT FORESHORE PARK,32A VANDERBILT COURT,VARSITY LAKES,1974,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,dd62c3ca-5518-45b3-bc05-14cba3b6e590
150990,K-VARS01,VARSITY CENTRAL PARK,ASSEMBLY DRIVE,VARSITY LAKES,4855,COMMUNITY FACILITIES,CENTRE / HALL,GCCC,9e43281a-1ad2-4a6e-9906-d174658087e3
150991,K-BALLYB,BALLYBUNION PARK,WINTERGREEN DRIVE,PARKWOOD,202477,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,7aab0344-fe7b-40dd-8585-2c7c5e042229
150992,K-BANDIC,BANDICOOT ENVIRONMENTAL RESERVE,265 BURNSIDE ROAD,STAPYLTON,38908,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,80d9d3a3-4fbb-42bb-b81c-69f8548b305d
150993,K-BANFFP,BANFF PARK,30 BANFF COURT,ROBINA,1960,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,2441cdf8-91bf-43ae-b30f-686ce4805b6b
150994,K-BANJOP,BANJO PARK,150 WEST BURLEIGH ROAD,BURLEIGH HEADS,5243,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,cd33850e-93f3-4b3d-b304-3a55d903ad09
150995,K-CJEDWA,C J EDWARD PARK,254 RESERVE ROAD,UPPER COOMERA,404,OPEN SPACE PARKS,AMENITY SPACE,GCCC,4436419b-29fa-48e8-bf49-69cf385994d0
150996,K-CABA01,CABALLO ROAD LITTLE RESERVE,CABALLO ROAD,GUANABA,11093,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,b211b4cf-7204-4390-8f50-546da9f44dfd
150997,K-CABA02,CABALLO ROAD RESERVE,CHESTERTON ROAD,GUANABA,878505.28,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,2be7bc8e-9642-4a95-b4d5-6f14657c0732
150998,,CABBAGE TREE POINT CONSERVATION PARK,15 FLOODGATE ROAD,STEIGLITZ,185596,QUEENSLAND CONSERVATION ESTATE,CONSERVATION PARK,EXTERNAL,6a52e29a-857f-4f41-8435-75c9eb964d5d
150999,K-CABLEP,CABLE PARK,3502 MAIN BEACH PARADE,MAIN BEACH,930,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ac314d76-40fe-4fe7-bd3f-26e2e1113a2f
151000,K-CADAGH,CADAGHI RESERVE,174 DISCOVERY DRIVE,HELENSVALE,2781,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,e9f7710a-9849-4205-aedc-5920d41de2c4
151001,K-TOMROS,TOM ROSE PARK,69 WANDIN STREET,NERANG,13530,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,33eae446-a988-42a7-87eb-22f8b2b09a64
151002,K-TOMAHS,TOMAH ST RESERVE,TOMAH STREET,PACIFIC PINES,4354,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,479d3974-3ce6-498f-a620-9c211c3b9ed8
151003,F-CPKARL,STANHILL PARK,230 STANHILL DRIVE,SURFERS PARADISE,1135,OPEN SPACE PARKS,AMENITY SPACE,GCCC,eacf46e0-ccf8-4d47-ac20-7bdcd802be28
151004,K-STANMO,STANMORE PARK,244 STANMORE ROAD,YATALA,86614,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,d0d9fb00-c31a-4801-8da3-46a76b03561a
151005,K-STANMO,STANMORE PARK,244 STANMORE ROAD,YATALA,423254,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,764de571-540e-49ef-a45d-71fe154e5772
151006,K-QUEENS,QUEENS PARK,1 QUEEN STREET,SOUTHPORT,3780,OPEN SPACE PARKS,AMENITY SPACE,GCCC,957681c6-4da1-4e9b-a2bf-5d4e5f02d229
151007,K-MUDG02,MUDGEERABA SHOWGROUNDS,115 MUDGEERABA ROAD,WORONGARY,23988,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,1b507d76-fdc6-4d6e-9439-b179fec94a62
151008,K-DOLLYH,DOLLY HENRICKSEN PARK,58 SMITH STREET,SOUTHPORT,7744,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,42c04699-3932-43b4-915a-068e940c3df3
151009,K-GLENRO,GLENROWAN BUSH RESERVE,42A GLENROWAN DRIVE,TALLAI,208698,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,58a99913-79b5-4028-913b-a1a341c30587
151010,K-WALLYM,WALLY MCANDREW PARK,11 ALBANY LANE,CURRUMBIN,4416,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4ab9cbf4-25fb-4226-9ed0-ad70736af9e5
151011,K-WARD02,WARDOO ST RESERVE,243 NERANG ROAD,SOUTHPORT,2243,UTILITY RESERVE,ACCESS LINKAGE,GCCC,fdec5a50-343c-4b0c-a275-6660303088de
151012,K-WARRIP,WARRI PARK,71 SWANTON DRIVE,MUDGEERABA,20929,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,ba390a1b-9305-43e2-a283-17466dc4e08c
151013,K-DUGAND,DUGANDAN STREET RESERVE,146 DUGANDAN STREET,NERANG,1450,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,25868fec-468a-4316-8d9d-9e7a0475e101
151014,K-SEAVIE,SEAVIEW RESERVE,18 SEAVIEW AVENUE,JACOBS WELL,4143,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,fda554cf-83f6-4d15-a307-7496e468c1ea
151015,,SOUTHERN MORETON BAY ISLANDS,,SOUTHERN MORETON BAY ISLANDS,16366057,QUEENSLAND CONSERVATION ESTATE,UNALLOCATED,EXTERNAL,0ee6c9df-4856-47a6-9fa4-0095c6cd7a40
151016,K-ANCORA,ANCORAGE WAY ROADSIDE PARKLANDS, MUNGERA STREET,BIGGERA WATERS,897,OPEN SPACE PARKS,AMENITY SPACE,GCCC,eaae1ea8-c42f-46b2-9dfc-8bbc97cc4462
151017,K-ANDREW,ANDREWS RESERVE,UNNAMED ROAD,REEDY CREEK,45936,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,eaa36d5b-9c2a-4f88-8e99-d015d82b79c7
151018,K-MEAD02,MEADOW VIEW DRIVE RESERVE,NEILSEN ROAD,CARRARA,28162,OPEN SPACE PARKS,WATER BODY,GCCC,0272f2f6-9bae-4dce-bfb5-5a907c3cd873
151019,K-MEAD03,MEADOWBROOK CRESCENT RESERVES,2 MEADOW BROOK CRESCENT,MERRIMAC,839,OPEN SPACE PARKS,AMENITY SPACE,GCCC,c0136a30-76a4-4055-a4ca-c628891da70c
151020,K-MEAD04,MEADOWVALE PARK,2A ADVENTURE AVENUE,OXENFORD,34129,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,86fc0737-a7d4-40b6-a80f-9e4c537bc08c
151021,K-WONG02,WONGAWALLAN CONSERVATION AREA,875 UPPER ORMEAU ROAD,KINGSHOLME,3738371,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,305aae1e-29fa-43f2-9115-28b3e74f9bed
151022,K-UNIV02,UNIVERSAL STREET RESERVE,179 UNIVERSAL STREET,OXENFORD,9245,OPEN SPACE PARKS,AMENITY SPACE,GCCC,1504ba51-c21f-4474-8e8f-e30f720687b9
151023,K-UPPE03,UPPER COOMBABAH CREEK RESERVE,UNNAMED ROAD,PACIFIC PINES,71354,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,febacec4-6f76-4953-8f25-b162f618aa6b
151024,K-UPPE02,UPPER COOMERA ADVENTURE PARKLANDS,221 RESERVE ROAD,UPPER COOMERA,62376,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,7eb5ed78-7eb6-4535-b9e6-cd97901e934a
151025,K-UPPE04,UPPER CRANE CRESCENT RESERVE,84 CRANE CRESCENT,NERANG,6710,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,7bb8f406-2906-4e69-accb-f4b45d6b5918
151026,K-UPPERH,UPPER HERITAGE DRIVE RESERVE,784 BEAUDESERT NERANG ROAD,MOUNT NATHAN,84034,UTILITY RESERVE,UTILITY RESERVE,GCCC,8b0ff18d-a5f1-4ad8-9809-c072eff416c9
151027,K-COSZAN,COS ZANTIOTIS PARK,112 BRISBANE ROAD,LABRADOR,23056,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,6cae84f0-7baa-4aa3-8c6e-d7b12e84ee82
151028,F-NGGAVE,GAVEN STATE SCHOOL PARK,212 UNIVERSAL STREET,OXENFORD,618,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,fad53b05-50fb-4ba3-9dc6-d3b91d0bf878
151029,K-AUST05,AUSTINVILLE CONSERVATION AREA MOUNT GANNON SECTION,780 AUSTINVILLE ROAD,AUSTINVILLE,1651841,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,108c9b4d-b24a-4f35-9c78-022384580404
151030,K-CITRUS,CITRUS DRIVE RESERVE,9 CITRUS DRIVE,NERANG,6606,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,96872404-c437-48c1-8105-e4e1c4f9eccd
151031,K-BINS02,BINSTEAD UNIVERSAL LINK RESERVE,74 UNIVERSAL STREET,PACIFIC PINES,2593,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,00ddbce3-283b-41de-89b4-e320f2bf2827
151032,K-BINS04,BINSTEAD WAY RESERVES,49A PALMERSTON DRIVE,PACIFIC PINES,2088,OPEN SPACE PARKS,AMENITY SPACE,GCCC,0213cf45-4f08-4e41-ade0-69c0ce5c7a3a
151033,K-BLUEGU,BLUE GUM PARK,23A PARKLAKE DRIVE,MUDGEERABA,4526,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,d45fa8eb-80e8-47af-8dda-455fa7f92e6d
151034,K-ROBI18,ROBINA RIVERWALK CENTRAL SECTION,ROBINA TOWN CENTRE DRIVE,ROBINA,9268,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,bdbe471b-b194-40bb-be64-464e13f689c6
151035,K-WORLEY,WORLEY PARK,2 WORLEY DRIVE,GILSTON,2665,OPEN SPACE PARKS,AMENITY SPACE,GCCC,ee2a8be6-5cbc-4b3b-8866-350e39c995b1
151036,K-YELLOW,YELLOWOOD RESERVE,61 JOHNSTONE ROAD,STAPYLTON,24785,UTILITY RESERVE,UTILITY RESERVE,GCCC,2c5e78ea-ed20-48ac-9f0e-07d922c1d375
151037,K-ZIPFSP,ZIPFS PARK,88 ALBERTON ROAD,ALBERTON,40913,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,f79203ea-1a61-4b76-949b-9bd64f652343
151038,K-PARKWA,PARKWAY DRIVE RESERVE,46 BEECHMONT ROAD,ADVANCETOWN,140547,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,b3fb5c4a-1afb-4199-9459-704360183513
151039,K-BUNDER,BUNDEROO PARK,13 HALIFAX CIRCUIT,PIMPAMA,4154,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,baa570c5-77a7-412f-ab06-6c42d4ab4d25
151040,K-BUNDER,BUNDEROO PARK,13 HALIFAX CIRCUIT,PIMPAMA,676,UTILITY RESERVE,NATURAL DRAINAGE RESERVE,GCCC,23f72eb7-efa5-43e9-8692-ca7d1d6016c9
151041,K-BUNDER,BUNDEROO PARK,13 HALIFAX CIRCUIT,PIMPAMA,1254,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,afa200cd-e605-4f77-8b97-e705a3f8ec4e
151042,K-BURCHI,BURCHILL PARK,PACIFIC HIGHWAY,NERANG,84756,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,c3af968e-a33b-4ca8-9655-f331e5dd6434
151043,K-CHIBAP,CHIBA PARK,9A TALLARA STREET,COOMBABAH,27837,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,419ed55f-f6f9-44a5-b2df-e2774be49f39
151044,K-CHINEL,CHINE LANE PARK,7 ERN HARLEY DRIVE,BURLEIGH HEADS,592,OPEN SPACE PARKS,AMENITY SPACE,GCCC,3becae8a-dcd8-4fbe-a24b-2ca974d114a2
151045,K-CHRI06,CHRISTENSEN RESERVE,85A CHRISTENSEN ROAD,STAPYLTON,14300,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,7be993ee-9e8d-434c-9b98-37d7f0f2183f
151046,K-GUAN02,GUANABA RESERVE,TARATA ROAD,GUANABA,84880,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,f6769ffd-5e67-4142-b4cc-a410480d3a98
151047,K-WATE07,WATERFALL DRIVE EASTERN PARK,TIMBERVIEW DRIVE,WONGAWALLAN,7073,OPEN SPACE PARKS,AMENITY SPACE,GCCC,a79ec396-8e2d-481f-95c7-6cc18d9ab6e2
151048,K-BILL02,BILL AND URSULA BIRMINGHAM PARK,NERANG CONNECTION ROAD,NERANG,7946,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,01087d40-2e2d-4020-a241-e5431fd53051
151049,K-BILLCR,BILL CROMPTON PARK,180 MONACO STREET,BROADBEACH WATERS,8198,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,c9a3a69a-1c84-4242-9f23-799bd3d0414f
151050,K-BILLAB,BILLABONG PARK,9A SWAGMAN ROAD,GILSTON,5317,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,d81518bb-66df-4a1b-8cd3-37087ad21b15
151051,K-BILLIN,BILLINGHURST CRESCENT PARK,63A BILLINGHURST CRESCENT,UPPER COOMERA,10212,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,1e0999a7-4295-486e-be60-61f560ecdb6c
151052,K-FERGUS,FERGUSON PARK,22 FERGUSON DRIVE,YATALA,15355,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,00e827dd-824c-4106-8e92-4e1e039c9db9
151053,K-FERN01,FERNY RIDGE RESERVE EAST,9 HIDDEN VALLEY ROAD,BONOGIN,13305,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,4b462f96-5754-433b-9261-ded3f12d932b
151054,K-FERN02,FERNY RIDGE RESERVE NORTH,9 HIDDEN VALLEY ROAD,BONOGIN,12282,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,79f049fc-78ee-4057-9c4d-34b695157eee
151055,K-FERN03,FERNY RIDGE RESERVE SOUTH,9 HIDDEN VALLEY ROAD,BONOGIN,5492,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,0f4a0dba-72b4-4e8c-80a4-252f850f0188
151056,K-REMEMH,REMEMBRANCE PARK HELENSVALE,18 LATROBE AVENUE,HELENSVALE,13434,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,4996d3c7-e928-4434-9d8c-882b237f09b5
151057,K-TRADEW,TRADEWINDS RESERVE,14 CASUARINA WAY,HELENSVALE,86643,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,6cccce83-921a-434e-bc12-41067c10e76c
151058,K-MOOYUM,MOOYUMBIN CREEK RESERVE,103A BEAUDESERT NERANG ROAD,NERANG,18214,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,6923e3ef-43a2-406b-8fa6-e854df787dc7
151059,K-GLADRO,GLADROSE RESERVE,GLADROSE CRESCENT,WONGAWALLAN,879082,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,70e54af2-efda-4cb1-a8e7-69e4e6a7c836
151060,K-FAIRYW,FAIRY WREN COURT RESERVE,FAIRY WREN COURT,BONOGIN,23862,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,58ed9566-0f57-4396-a86e-e4b701dd7431
151061,K-BRILLI,BRILLIANT LANE RESERVE,BRILLIANT LANE,COOMERA,8620,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,cc531320-3d84-470f-a297-1fc713e2a84c
